id,name,type,handedness,range,description
60,Medi-kit,equipment,,,"Battlefield first aid has brought many soldiers back from the brink of death. Blessed ointments can seal fatal wounds completely, while the black blood of demons used by twisted heretic medics allows troops with huge gaping wounds to ignore the pain and return to the fray."
61,Gas Mask,equipment,,,"Mustard Gas, phosgene, chlorine as well as noxious fumes from the bolgias of Hell plague the battlefield. The Gas Mask allows soldiers to withstand such attacks."
62,Holy Relic,equipment,,,"Due to the threat to all Creation, the churches, cathedrals and basilicas have emptied their reliquaries and distributed their relics to the frontline troops to aid them in their battle against the damned."
63,Armour-Piercing Bullets,equipment,,,"Advanced armour technology has forced the armouries of the Great War to forge new types of bullets. Expensive and labour-intensive to produce, these hardened tungsten rounds are more effective against battlefield armour."
64,Dum-Dum Bullets,equipment,,,These hollow-point bullets are far more likely to cause fatal wounds than standard ammunition.
65,Incendiary Bullets,equipment,,,"Developed by Aym, the Great Duke of Hell, these bullets set any target they hit on fire."
66,Tracer Bullets,equipment,,,Tracer bullets allow soldiers to adjust their aim efficiently.
67,Sniper Scope,equipment,,,These optical aiming devices are favoured by Snipers to aid in their aiming at long distances.
68,Shovel,equipment,,,Battlefield shovel allows troops to dig in and fight from cover in virtually any battlefield.
69,Troop Flag,equipment,,,"Most warbands and units carry banners, flags, standards, pennants or other symbols to rally the troops. Heretic Legions are infamous for their gruesome battle standards, often made of impaled torsos kept alive by unholy magic."
70,Martyrdom Pills,equipment,,,"Martyrdom pills are a potent mixture of mind-altering drugs and chemicals that inure a soldier against all pain and injury. However, it takes a tremendous toll on the body."
71,Unholy Trinket,equipment,,,
72,Unholy Relic,equipment,,,"An artefact bestowed with unholy power. Examples include Nephilim heads, desecrated splinters of the True Cross or mummified body parts of fallen saints and bishops."
73,Blessed Icon,equipment,,,"Small icons of saints, great angels and holy warriors are a common sight amongst the Trench Pilgrims. They are hung on rosaries, belts, or attached to portable shrines carried on the Pilgrims’ backs."
74,Infernal Brand Mark,equipment,,,A Heretic who has made a Holy Pilgrimage into Hell itself is branded by their patron devil with an ever-burning mark. Mortal fire no longer has the power to harm them.
75,Field Shrine,equipment,,,"Holy reliquaries, blessed artefacts and sacred crosses are often carried to the battlefield to encourage the troops, while the Heretics bring idols of the Golden Calf, tortured captives or other wicked totems to bear."
76,Hellbound Soul Contract,equipment,,,An infernal contract signed by a Heretic and the devil who will come to collect the damned soul when death is close. The mortal signatory bursts into infernal flames when seriously wounded.
77,Binoculars,equipment,,,"It is quite common for officers to carry finely-crafted battlefield binoculars with them on the battlefield to survey the land ahead, spot hidden enemy troops and observe any sign of movement."
78,Musical Instrument,equipment,,,"Horns, drums, trumpets, whistles, bagpipes and many other types of instruments are used extensively in the battles of the Great War. They can bolster the hearts of those facing the horrors of Hell – or they can recite terrifying hymns praising the lords of the Inferno!"
79,MURAD Bombard,range,1,36,"Named after the great Sultan who commissioned the first of these weapons to defend the Iron Wall, this mighty bombard is used to disrupt advancing enemy formations. The echo of its blast recites the 99 names of Allah, throwing even the greatest of warriors to ground like chaff."
80,Flame Cannon,range,1,12,"A great cannon that shoots a stream of alchemical fire with tremendous force. It has a tendency to overheat and ignite the skin of its artillery crew, but the mighty Brazen Bulls use them as mere handguns. The secret formula used for the fuel of the Flame Cannons was gleaned from the lost Byzantine ruins, and is commonly known as Greek Fire."
81,Titan Zulfiqar,melee,1,,"This twin-tongued greatsword can weigh up to 300 pounds – only the mighty Brazen Bulls can even lift this monstrous blade, let alone wield it in combat. Its sheer weight and mono-molecule sharpness cuts through even the thickest armour when swung by the superhuman strength of the takwin monstrosity."
82,Assassin’s Dagger,melee,1,,"The blades of the Assassins are imbued with the Supreme Poison. In chambers deep below the surface, generations of young assassins are raised in the dark; fed a diet of scorpions, frogs, deadly mushrooms and even stranger, more noxious things, and generation by generation their tolerance grows. The poisonous blood of these willing vessels is drawn and smelted into a poisonous iron. The iron is forged into blades and deadly spells of slaying layered into each fold of the envenomed metal. Thus the blood of the first generation of Assassins lives to this day, growing more potent with each generation."
83,Halberd-Gun,range,2,24,"Invention of the House of Wisdom, this weapon acts both as a symbol of high rank and an excellent weapon in combat."
84,Siege Jezzail,range,2,30,"Heavier version of the standard Jezzail. It is a large, cumbersome weapon with a shot of lead or iron weighing as much as four pounds, designed to take out even the most powerful enemies with a single shot. Azebs armed with these weapons use tripod stakes when firing them, but the mighty Janissaries often use them as their standard service gun."
85,Alchemist Armour,armor,,,"Suit of armour which protects against almost all harm. This is an essential tool of Alchemists’ craft, festooned with the Seals of Solomon which enables them to bend the elements of Creation to their will and shields them even from the devices of Hell."
86,Alchemical Ammunition,equipment,,,"Jabirean Alchemists craft these Jezzail bullets from the slivers of the Iron Wall. Each such shot is carved the Seal of Solomon, guiding them during their path through the air."
87,Cloak of Alamut,equipment,,,"Created by the secret arts of the Assassin’s sect aeons ago, this cloak bends the light so that its wearer looks almost indistinguishable against any surface when they are still. It is this masterwork of Alamut that has led to the tales of the fabled Cloak of Invisibility in the legends of the Sultanate."
88,Wind Amulet,equipment,,,"Amulet created by the Jabirean Alchemists, capturing the essence of the Element of Wind within it."
89,Tartarus Armour,armor,,,Nigh-impregnable.
90,Chainmaw,melee,,,
91,Shredding Claws,melee,,,
92,Hallucinogen Disguise,ability,,,
93,Thunderbolt of Alamut,ability,,,
94,Mirage of Time,ability,,,Both Ranged and Melee attacks against the Assassin suffer -1 DICE penalty when determining if they hit.
95,Golden Khanjar,melee,1,,"Placed on a hand of an especially favoured killer by the Old Man of the Mountain himself, these wickedly curved daggers gleam as if they were made of gold, but instead they are crystallised poison, and allow their wielder to attack twice in the same instance of time. Only the Master of Alamut himself knows the secret of making these blades."
96,Bow of Alamut,range,2,60,"This terrifying double-stringed bow shoots its deadly barbs through both time and space. Its arrows can reach impossible distances and pass through armour by flickering through time. It leaves behind a temporal slipstream that the Assassin can travel through in an eyeblink. Made from wood taken from trees planted in the skulls of ancient assassins in the Garden of Alamut so that they might absorb mystic powers of their former owners, these bows are some of the greatest treasures of the Old Man of the Mountain for it is said that only six now remain in his secret armouries."
97,Hashashin Leaf,equipment,,,"These leaves from the secret Garden of Alamut enhance the strength of anyone who eats them threefold. Once the effect wears off the subject will suffer from agonising muscle tears and ripping of ligaments, but many of the Order of Assassins feel that this is a small price to pay for being able to use deadlier weapons."
98,Sacrificial Lamb,equipment,,,"Before the battle, this lamb is sacrificed to God’s glory, and the pilgrim then anoints themselves with its blood, averting the wrath of Yahweh while fighting for His cause. The model ignores the first BLOOD MARKER or INFECTION MARKER it suffers in combat."
99,"Away, Serpents!",ability,,12,"Select any enemy within 12” of the Priest and take a RISKY ACTION (Targeting models on 40mm or larger bases incur -1 DICE penalty to this roll). If successful, the enemy model goes Down immediately, slithering on its belly like a snake."
100,Arise and Be Healed!,ability,,3,"Select one friendly model within 3” of the Priest and take a RISKY ACTION. If successful, the warrior immediately stands up if Down, and loses up to D3 BLOOD MARKERS or INFECTION MARKERS (or any combination) of your choice."
