troop_type_id,name,rule
34,Bodyguard,"If any BLACK GRAIL model within 1” of the Corpse Guard is hit, you can choose to redirect the hit against the Corpse Guard instead. Determine the injuries exactly as if the weapon just hit the Corpse Guard."
34,Undead Fortitude,"All injury rolls against this model are made with -1 DICE, unless the attack has the Keyword FIRE, in which case it works normally. Attacks with the Keyword GAS have no effect on it."
35,Undead Fortitude,"All injury rolls against this model are made with -1 DICE, unless the attack has the Keyword FIRE, in which case it works normally. Attacks with the Keyword GAS have no effect on it."
35,Frightening Speed,"The hounds take Dash actions with +1 DICE. In addition, they can get up from being Down without any movement penalty."
36,Undead Fortitude,"All injury rolls against this model are made with -1 DICE, unless the attack has the Keyword FIRE, in which case it works normally. Attacks with the Keyword GAS have no effect on it."
36,Overwhelming Horde,"For each BLACK GRAIL model within 3” of the Thrall, it gains +1 DICE to its Melee attack rolls, up to maximum +4 DICE."
37,Infected Proboscis,"In melee, the Heralds attack with their proboscis and suffer no penalties for being unarmed. If this attack causes a BLOOD MARKER on any enemy without the Keyword BLACK GRAIL, the Herald can remove one of their own BLOOD MARKERS."
37,Maddening Buzz,Every ACTION taken by an enemy within 8” of a Herald is considered a RISKY ACTION.
37,Toxic,Attacks with Keyword GAS have no effect on the model.
38,Corpulent,An Amalgam is a vast bulk of diseased flesh and is extraordinarily difficult to kill. All Injury rolls from any source against an Amalgam suffer a -3 DICE penalty.
38,Toxic,Attacks with Keyword GAS have no effect on the model.
38,Trample,"Whenever the Amalgam is fighting any enemy model on a 32mm or smaller base in melee that is Down, it can make a single additional Melee Attack ACTION any time during its Activation against one Downed opponent. Resolve the attack as if the Amalgam was armed with a Trench Club. This attack Ignores armour as the Amalgam stomps their enemies into pulp."
38,Unstoppable,"An Amalgam can always move out of melee combat with any enemy without the enemy having a chance to attack it. It can use Dash, Move or Charge to do so."
39,Counter-Charge,"If the first ACTION a Janissary makes during their Activation is a Charge, they can add +1 DICE to their subsequent Melee Attack ACTIONS during this Activation."
39,Whirling Dervishes,"The ritual Dance of the Dervishes is hypnotic to witness, and it is as graceful as it is deadly. All Ranged attacks against Dervishes suffer -1 DICE penalty. Dervishes do not suffer the normal -1 DICE to hit for fighting with a second melee weapon in off-hand."
